Date,AAPL,MSFT,SPY
2020-10-19,114.3048095703125,214.26390075683594,340.976806640625
2020-10-26,108.164306640625,200.6290283203125,322.00408935546875
2020-11-02,117.9314956665039,221.68580627441406,345.29595947265625
2020-11-06,,,
2020-11-09,118.70228576660156,214.54136657714844,353.1257019042969
2020-11-16,116.79125213623047,208.4770050048828,350.3941345214844
2020-11-18,,,
2020-11-23,116.04476165771484,213.83135986328125,358.6182861328125
2020-11-30,121.67829895019531,212.96702575683594,364.7124328613281
2020-12-07,121.83755493164062,211.87416076660156,361.2117614746094
2020-12-14,126.06768035888672,217.16952514648438,364.0517883300781
2020-12-18,,,
2020-12-21,131.3528289794922,221.302490234375,365.4253234863281
2020-12-28,132.06947326660156,220.97463989257812,370.258056640625
2021-01-04,131.43246459960938,218.19284057617188,377.56658935546875
2021-01-11,126.54542541503906,211.2681121826172,372.0604248046875
2021-01-18,138.4196319580078,224.48170471191406,379.17083740234375
2021-01-25,131.34288024902344,230.45263671875,366.4849853515625
2021-02-01,136.12045288085938,240.6260986328125,383.9540710449219
2021-02-05,,,
2021-02-08,134.9382781982422,243.39797973632812,388.8363342285156
2021-02-15,129.455810546875,239.4040985107422,386.2515869140625
2021-02-17,,,
2021-02-22,120.87328338623047,231.4016571044922,376.6752624511719
2021-03-01,121.03276824951172,230.62493896484375,379.9136047363281
2021-03-08,120.64401245117188,234.75746154785156,390.2425537109375
2021-03-15,119.60733032226562,229.3802032470703,385.7069396972656
2021-03-19,,,
2021-03-22,120.82343292236328,235.484375,393.4283447265625
2021-03-29,122.60772705078125,241.32968139648438,398.0284729003906
2021-04-05,132.57583618164062,254.77284240722656,408.83837890625
2021-04-12,133.73214721679688,259.6422424316406,414.5711975097656
2021-04-19,133.89163208007812,260.0505065917969,414.0545349121094
2021-04-26,131.04075622558594,251.11827087402344,414.6109313964844
2021-05-03,129.7947540283203,251.39710998535156,419.3998718261719
2021-05-07,,,
2021-05-10,127.25933074951172,247.10525512695312,413.89556884765625
2021-05-17,125.24235534667969,244.13780212402344,412.2661437988281
2021-05-19,,,
2021-05-24,124.423583984375,249.20291137695312,417.3332824707031
2021-05-31,125.70166778564453,250.310791015625,419.8768005371094
2021-06-07,127.15947723388672,257.3972473144531,421.5757751464844
2021-06-14,130.26483154296875,258.9342956542969,412.24627685546875
2021-06-18,,,
2021-06-21,132.91087341308594,264.51361083984375,425.24761962890625
2021-06-28,139.75062561035156,277.1194763183594,432.3349304199219
2021-07-05,144.89291381835938,277.408935546875,434.1291809082031
2021-07-12,146.17098999023438,280.21356201171875,429.9625244140625
2021-07-19,148.33775329589844,289.11651611328125,438.53509521484375
2021-07-26,145.64178466796875,284.3656005859375,437.1096496582031
2021-08-02,145.92137145996094,288.90692138671875,441.0769348144531
2021-08-06,,,
2021-08-09,149.10000610351562,292.2904357910156,444.4960021972656
2021-08-16,148.19000244140625,303.7784423828125,441.94415283203125
2021-08-18,,,
2021-08-23,148.60000610351562,299.7200012207031,448.8121643066406
2021-08-30,154.3000030517578,301.1400146484375,451.63311767578125
2021-09-06,148.97000122070312,295.7099914550781,444.01751708984375
2021-09-13,146.05999755859375,299.8699951171875,439.99041748046875
2021-09-17,,,
2021-09-20,146.9199981689453,299.3500061035156,443.9100036621094
2021-09-27,142.64999389648438,289.1000061035156,434.239990234375
2021-10-04,142.89999389648438,294.8500061035156,437.8599853515625
2021-10-11,144.83999633789062,304.2099914550781,445.8699951171875
2021-10-18,148.69000244140625,309.1600036621094,453.1199951171875
2021-10-22,148.69000244140625,309.1600036621094,453.1199951171875
